['TIL-103D', '17:40', '19:00', 'Monday']
['RAB-207', '14:00', '15:20', 'Thursday']
['RAB-018', '17:40', '19:00', 'Tuesday']
['RAB-018', '17:40', '19:00', 'Thursday']
['AAC-207', '14:00', '15:20', 'Friday']
['BE-111', '14:00', '15:20', 'Friday']
['RAB-105', '12:10', '15:10', 'Monday']
['BE-111', '15:50', '18:50', 'Friday']
['SC-203', '08:30', '09:50', 'Monday']
['SC-203', '08:30', '09:50', 'Thursday']
['ED-025B', '15:50', '17:10', 'Tuesday']
['ED-025B', '15:50', '17:10', 'Thursday']
['TIL-103A', '19:30', '20:50', 'Monday']
['TIL-103A', '19:30', '20:50', 'Wednesday']
['MI-100', '10:20', '11:40', 'Monday']
['MI-100', '10:20', '11:40', 'Thursday']
['RAB-105', '14:00', '17:00', 'Tuesday']
['SC-214', '19:30', '20:50', 'Monday']
['SC-214', '19:30', '20:50', 'Wednesday']
['CA-A3', '10:20', '11:40', 'Monday']
['CA-A3', '10:20', '11:40', 'Thursday']
['RAB-018', '12:10', '15:10', 'Tuesday']
['RAB-206', '15:50', '17:10', 'Monday']
['BIO-206', '15:50', '17:10', 'Wednesday']
['RAB-109B', '10:20', '11:40', 'Wednesday']
['BIO-302', '15:50', '17:10', 'Thursday']
['RAB-001', '14:00', '15:20', 'Monday']
['RAB-001', '14:00', '15:20', 'Wednesday']
['BIO-302', '10:20', '11:40', 'Tuesday']
['BIO-302', '12:10', '13:30', 'Tuesday']
['BIO-302', '10:20', '11:40', 'Wednesday']
['BIO-302', '14:00', '15:20', 'Thursday']
['BIO-302', '17:40', '19:00', 'Monday']
['BIO-302', '12:10', '13:30', 'Friday']
['RAB-204', '10:20', '13:20', 'Tuesday']
['BIO-205', '10:20', '11:40', 'Tuesday']
['BIO-205', '10:20', '11:40', 'Friday']
['BIO-206', '12:10', '13:30', 'Tuesday']
['BIO-206', '10:20', '11:40', 'Wednesday']
['LOR-020', '10:20', '11:40', 'Monday']
['HCK-115', '10:20', '11:40', 'Wednesday']
['RAB-109B', '10:20', '11:40', 'Tuesday']
['RAB-209B', '15:50', '17:10', 'Wednesday']
['RAB-209B', '14:00', '15:20', 'Wednesday']
['BIO-302', '10:20', '11:40', 'Thursday']
['BIO-315', '14:00', '17:00', 'Tuesday']
['RAB-209A', '12:10', '15:10', 'Monday']
['BIO-315', '14:00', '17:00', 'Monday']
['RAB-001', '15:50', '17:10', 'Tuesday']
['RAB-001', '15:50', '17:10', 'Thursday']
['ABE-1180', '10:20', '11:40', 'Monday']
['RAB-209A', '10:20', '11:40', 'Wednesday']
['HC-S126', '12:10', '13:30', 'Tuesday']
['ABE-2250', '10:20', '11:40', 'Thursday']
['RAB-001', '15:50', '17:10', 'Monday']
['RAB-001', '15:50', '17:10', 'Wednesday']
['BIO-201A', '17:40', '19:00', 'Monday']
['BIO-201A', '19:30', '20:50', 'Monday']
['RAB-001', '10:20', '11:40', 'Monday']
['RAB-001', '10:20', '11:40', 'Thursday']
['BIO-205', '15:50', '17:10', 'Tuesday']
['BIO-205', '15:50', '17:10', 'Thursday']
['BIO-206', '10:20', '11:40', 'Monday']
['BIO-206', '10:20', '11:40', 'Thursday']
['CA-A4', '12:10', '15:10', 'Thursday']
['HCK-205', '15:50', '17:10', 'Monday']
['HCK-205', '15:50', '17:10', 'Wednesday']
['RAB-110B', '10:20', '13:20', 'Monday']
['RAB-209A', '14:00', '15:20', 'Tuesday']
['RAB-209A', '14:00', '15:20', 'Thursday']
['RAB-208', '14:00', '15:20', 'Monday']
['RAB-208', '14:00', '15:20', 'Wednesday']
['BIO-206', '14:00', '17:00', 'Tuesday']
['RAB-003', '10:20', '13:20', 'Tuesday']
['BIO-205', '10:20', '11:40', 'Monday']
['BIO-205', '10:20', '11:40', 'Thursday']
['BIO-302', '12:10', '13:30', 'Monday']
['BIO-302', '12:10', '13:30', 'Thursday']
['ABE-2200', '15:50', '18:50', 'Thursday']
['RAB-003', '14:00', '17:00', 'Thursday']
['BIO-201A', '10:20', '11:40', 'Tuesday']
['BIO-201A', '10:20', '11:40', 'Friday']
['BIO-315', '14:00', '17:00', 'Wednesday']
['BIO-206', '17:40', '19:00', 'Tuesday']
['BIO-206', '17:40', '19:00', 'Thursday']
['BIO-206', '14:00', '15:20', 'Monday']
['BIO-206', '14:00', '15:20', 'Wednesday']
['ZAM-MPR', '10:20', '13:20', 'Wednesday']
['ARH-100', '19:30', '20:50', 'Monday']
['ARH-100', '19:30', '20:50', 'Wednesday']
['ABE-2225', '15:50', '17:10', 'Tuesday']
['ABE-2225', '15:50', '17:10', 'Thursday']
['RAB-001', '17:40', '19:00', 'Monday']
['RAB-001', '17:40', '19:00', 'Wednesday']
['ZAM-MPR', '14:00', '15:20', 'Tuesday']
['ZAM-MPR', '14:00', '15:20', 'Thursday']
['VH-104', '15:50', '17:10', 'Tuesday']
['VH-104', '15:50', '17:10', 'Thursday']
['ZAM-MPR', '10:20', '11:40', 'Monday']
['ZAM-MPR', '10:20', '11:40', 'Thursday']
['MU-213', '17:40', '19:00', 'Monday']
['MU-213', '17:40', '19:00', 'Wednesday']
['ZAM-MPR', '12:10', '13:30', 'Monday']
['ZAM-MPR', '12:10', '13:30', 'Thursday']
['ZAM-MPR', '14:00', '15:20', 'Monday']
['ZAM-MPR', '14:00', '15:20', 'Wednesday']
['VH-001', '10:20', '13:20', 'Thursday']
['VH-001', '14:00', '17:00', 'Wednesday']
['ZAM-EDR', '12:10', '15:10', 'Thursday']
['VH-001', '10:20', '13:20', 'Tuesday']
['BE-119', '14:00', '15:20', 'Monday']
['BE-119', '10:20', '11:40', 'Monday']
['HCK-213', '14:00', '15:20', 'Monday']
['DL-G006', '15:50', '17:10', 'Thursday']
['ABW-3100', '14:00', '15:20', 'Wednesday']
['EOH-C', '15:50', '17:10', 'Wednesday']
['NIH-111', '12:10', '13:30', 'Thursday']
['TIL-123', '10:20', '11:40', 'Monday']
['VIX-109', '15:50', '17:10', 'Tuesday']
['RMH-209', '12:10', '13:30', 'Thursday']
['DL-G006', '14:00', '15:20', 'Friday']
['LOR-STU', '12:10', '13:30', 'Thursday']
['MU-113', '12:10', '13:30', 'Thursday']
['RMH-101', '12:10', '15:10', 'Tuesday']
['NIH-112', '14:00', '15:20', 'Thursday']
['WL-260', '14:00', '15:20', 'Monday']
['ARC-205', '12:10', '13:30', 'Monday']
['WL-196', '12:10', '13:30', 'Wednesday']
['SC-121', '14:00', '15:20', 'Thursday']
['SEC-216', '14:00', '15:20', 'Monday']
['ABE-3200', '10:20', '11:40', 'Wednesday']
['BRR-4087', '14:00', '15:20', 'Tuesday']
['ZAM-SEM', '12:10', '13:30', 'Tuesday']
['NH-D251', '15:50', '18:50', 'Thursday']
['CCB-1209', '15:50', '17:10', 'Thursday']
['LSH-B111', '15:50', '17:10', 'Monday']
['ABE-2250', '10:20', '11:40', 'Monday']
['HC-E128', '12:10', '13:30', 'Tuesday']
['BME-128', '12:10', '13:30', 'Tuesday']
['MED-882', '10:20', '11:40', 'Monday']
['TIL-209', '12:10', '13:30', 'Monday']
['SPR-309', '12:10', '13:30', 'Tuesday']
['RAB-209B', '14:00', '15:20', 'Thursday']
['ARC-207', '15:50', '17:10', 'Friday']
['ABW-1100', '14:00', '15:20', 'Tuesday']
['ABW-1100', '10:20', '11:40', 'Monday']
['HC-S124', '17:40', '19:00', 'Monday']
['HC-S126', '17:40', '19:00', 'Monday']
['HC-S124', '19:30', '20:50', 'Monday']
['HC-E128', '19:30', '20:50', 'Monday']
['HC-E128', '08:30', '09:50', 'Tuesday']
['HC-S124', '17:40', '19:00', 'Tuesday']
['HC-S126', '19:30', '20:50', 'Tuesday']
['HC-S124', '10:20', '11:40', 'Wednesday']
['HC-S124', '17:40', '19:00', 'Wednesday']
['HC-E128', '17:40', '19:00', 'Wednesday']
['HC-S124', '19:30', '20:50', 'Wednesday']
['HC-S126', '19:30', '20:50', 'Wednesday']
['HC-S126', '17:40', '19:00', 'Thursday']
['HC-S124', '19:30', '20:50', 'Thursday']
['HC-E128', '19:30', '20:50', 'Thursday']
['HC-S124', '21:20', '22:40', 'Thursday']
['HC-E128', '10:20', '11:40', 'Wednesday']
['HC-N106', '10:20', '11:40', 'Wednesday']
['HC-S120', '10:20', '11:40', 'Wednesday']
['ABW-3100', '10:20', '11:40', 'Wednesday']
['ABW-1100', '10:20', '11:40', 'Wednesday']
['ABE-2200', '10:20', '11:40', 'Wednesday']
['SC-121', '10:20', '11:40', 'Wednesday']
['HC-S126', '10:20', '11:40', 'Wednesday']
['ABE-2250', '10:20', '11:40', 'Wednesday']
['TIL-224', '14:00', '15:20', 'Monday']
['CA-A1', '12:10', '13:30', 'Tuesday']
['SC-135', '17:55', '18:50', 'Tuesday']
['HC-N106', '08:30', '09:50', 'Monday']
['HC-N106', '08:30', '09:50', 'Thursday']
['HC-S120', '08:30', '09:50', 'Monday']
['HC-S120', '08:30', '09:50', 'Thursday']
['HC-S124', '08:30', '09:50', 'Monday']
['HC-S124', '08:30', '09:50', 'Thursday']
['HC-S126', '08:30', '09:50', 'Monday']
['HC-S126', '08:30', '09:50', 'Thursday']
['HC-S124', '10:20', '11:40', 'Tuesday']
['HC-S124', '10:20', '11:40', 'Friday']
['HC-E128', '10:20', '11:40', 'Tuesday']
['HC-E128', '10:20', '11:40', 'Friday']
['HC-S120', '10:20', '11:40', 'Tuesday']
['HC-S120', '10:20', '11:40', 'Friday']
['HC-S126', '10:20', '11:40', 'Tuesday']
['HC-S126', '10:20', '11:40', 'Friday']
['HC-N106', '12:10', '13:30', 'Wednesday']
['HC-N106', '14:00', '15:20', 'Friday']
['HC-S120', '12:10', '13:30', 'Wednesday']
['HC-S120', '14:00', '15:20', 'Friday']
['HC-S124', '12:10', '13:30', 'Wednesday']
['HC-S124', '14:00', '15:20', 'Friday']
['HC-S126', '12:10', '13:30', 'Wednesday']
['HC-S126', '14:00', '15:20', 'Friday']
['HC-N106', '17:40', '19:00', 'Monday']
['HC-N106', '17:40', '19:00', 'Wednesday']
['HC-S120', '17:40', '19:00', 'Monday']
['HC-S120', '17:40', '19:00', 'Wednesday']
['HC-S120', '19:30', '20:50', 'Tuesday']
['HC-S120', '19:30', '20:50', 'Thursday']
['HC-N106', '19:30', '20:50', 'Tuesday']
['HC-N106', '19:30', '20:50', 'Thursday']
['HC-S124', '08:30', '09:50', 'Tuesday']
['HC-S124', '08:30', '09:50', 'Friday']
['ALX-049', '10:20', '13:20', 'Tuesday']
['SC-202', '08:30', '09:50', 'Monday']
['SC-202', '08:30', '09:50', 'Thursday']
['LSH-A232', '17:40', '20:40', 'Wednesday']
['LSH-A232', '08:45', '09:40', 'Monday']
['LSH-A232', '13:00', '15:00', 'Monday']
['ABW-1150', '10:20', '11:40', 'Wednesday']
['ABW-1150', '15:50', '17:10', 'Wednesday']
['ABW-1150', '10:20', '11:40', 'Tuesday']
['ABW-1150', '14:00', '15:20', 'Monday']
['LSH-A215', '17:40', '19:00', 'Tuesday']
['MI-010', '17:40', '19:00', 'Thursday']
['LSH-A215', '12:10', '13:30', 'Thursday']
['MI-010', '10:20', '11:40', 'Friday']
['ARC-247', '07:30', '17:00', 'Saturday']
['VH-104', '14:00', '15:20', 'Thursday']
['SC-121', '17:40', '19:00', 'Tuesday']
['LSH-B116', '08:30', '09:50', 'Monday']
['SC-215', '12:10', '13:30', 'Thursday']
['ABW-2150', '15:50', '17:10', 'Monday']
['ABW-2150', '10:20', '11:40', 'Tuesday']
['SC-215', '14:00', '15:20', 'Wednesday']
['SC-103', '12:10', '13:30', 'Wednesday']
['ARC-108', '15:50', '17:10', 'Wednesday']
['ARC-333', '12:10', '13:30', 'Thursday']
['ARC-108', '14:00', '15:20', 'Wednesday']
['TIL-123', '10:20', '11:40', 'Friday']
['TIL-123', '17:40', '19:00', 'Wednesday']
['LSH-B116', '19:30', '20:50', 'Thursday']
['TIL-123', '14:00', '15:20', 'Tuesday']
['LSH-B116', '15:50', '17:10', 'Wednesday']
['RAB-109B', '14:00', '15:20', 'Monday']
['LSH-B116', '15:50', '17:10', 'Tuesday']
['TIL-123', '10:20', '11:40', 'Thursday']
['TIL-123', '14:00', '15:20', 'Thursday']
['ABW-2150', '12:10', '13:30', 'Tuesday']
['HCK-207', '10:20', '11:40', 'Tuesday']
['RAB-109B', '10:20', '11:40', 'Thursday']
['ABE-3450', '15:50', '17:10', 'Monday']
['ABE-3450', '15:50', '17:10', 'Wednesday']
['ABE-3450', '10:20', '11:40', 'Monday']
['ABE-3450', '10:20', '11:40', 'Thursday']
['ABE-3450', '19:30', '20:50', 'Monday']
['ABE-3450', '19:30', '20:50', 'Wednesday']
['ABE-3450', '17:40', '19:00', 'Monday']
['ABE-3450', '17:40', '19:00', 'Wednesday']
['HC-S126', '14:00', '15:20', 'Monday']
['HC-S126', '14:00', '15:20', 'Wednesday']
['RAB-209B', '10:20', '13:20', 'Monday']
['HC-S124', '12:10', '15:10', 'Tuesday']
['ED-025B', '10:20', '13:20', 'Tuesday']
['ABW-3100', '10:20', '13:20', 'Tuesday']
['ABW-3100', '14:00', '17:00', 'Monday']
['WL-260', '10:20', '13:20', 'Tuesday']
['ABW-1100', '15:50', '17:10', 'Tuesday']
['ABW-1100', '15:50', '17:10', 'Thursday']
['HC-E128', '14:00', '17:00', 'Friday']
['HC-S120', '14:00', '15:20', 'Monday']
['HC-S120', '14:00', '15:20', 'Wednesday']
['HC-N106', '15:50', '17:10', 'Monday']
['HC-N106', '15:50', '17:10', 'Wednesday']
['HC-E128', '08:30', '11:30', 'Thursday']
['HC-N106', '10:20', '13:20', 'Tuesday']
['SC-121', '14:00', '17:00', 'Monday']
['BIO-206', '12:10', '15:10', 'Thursday']
['MU-207', '10:20', '13:20', 'Monday']
['HC-E128', '14:00', '15:20', 'Monday']
['HC-E128', '14:00', '15:20', 'Wednesday']
['MH-115', '10:20', '13:20', 'Wednesday']
['HC-S120', '10:20', '11:40', 'Monday']
['HC-S120', '10:20', '11:40', 'Thursday']
['LSH-A256', '14:00', '15:20', 'Tuesday']
['LSH-A256', '14:00', '15:20', 'Thursday']
['HC-S120', '12:10', '15:10', 'Tuesday']
['RAB-003', '15:50', '17:10', 'Monday']
['RAB-003', '15:50', '17:10', 'Wednesday']
['ABE-2250', '15:50', '17:10', 'Monday']
['ABE-2250', '15:50', '17:10', 'Wednesday']
['CWP-214', '16:30', '18:00', 'Thursday']
['MU-212', '10:20', '11:40', 'Monday']
['MU-212', '10:20', '11:40', 'Thursday']
['ABW-2150', '10:20', '11:40', 'Friday']
['ABW-2150', '12:10', '13:30', 'Friday']
['ABW-2150', '14:00', '15:20', 'Friday']
['BE-003', '14:00', '15:20', 'Monday']
['BE-003', '14:00', '15:20', 'Wednesday']
['SC-115', '14:00', '15:20', 'Tuesday']
['SC-115', '14:00', '15:20', 'Thursday']
['SC-220', '17:40', '19:00', 'Tuesday']
['SC-220', '17:40', '19:00', 'Thursday']
['SC-120', '12:10', '13:30', 'Monday']
['SC-120', '12:10', '13:30', 'Thursday']
['ARC-103', '12:10', '13:30', 'Monday']
['ARC-103', '12:10', '13:30', 'Thursday']
['BST-114A', '14:00', '15:20', 'Monday']
['BST-114A', '15:50', '17:10', 'Monday']
['BST-114A', '17:40', '19:00', 'Monday']
['BST-114A', '12:10', '13:30', 'Tuesday']
['BST-114A', '14:00', '15:20', 'Tuesday']
['BST-114A', '15:50', '17:10', 'Tuesday']
['BST-114A', '08:30', '09:50', 'Wednesday']
['BST-114A', '10:20', '11:40', 'Wednesday']
['BST-114A', '12:10', '13:30', 'Wednesday']
['BST-114A', '14:00', '15:20', 'Thursday']
['BST-114A', '15:50', '17:10', 'Thursday']
['BST-114A', '17:40', '19:00', 'Thursday']
['BST-114A', '10:20', '11:40', 'Tuesday']
['BST-114A', '14:00', '15:20', 'Wednesday']
['BST-114A', '15:50', '17:10', 'Wednesday']
['ARC-103', '17:40', '19:00', 'Monday']
['ARC-103', '17:40', '19:00', 'Wednesday']
['ARC-309', '15:50', '17:10', 'Wednesday']
['ARC-309', '10:20', '11:40', 'Thursday']
['ARC-309', '12:10', '13:30', 'Thursday']
['ARC-309', '12:10', '13:30', 'Wednesday']
['ARC-309', '08:30', '09:50', 'Tuesday']
['ARC-309', '14:00', '15:20', 'Thursday']
['ARC-309', '10:20', '11:40', 'Tuesday']
['ARC-309', '12:10', '13:30', 'Tuesday']
['ARC-309', '10:20', '11:40', 'Wednesday']
['ARC-309', '14:00', '15:20', 'Wednesday']
['ARC-309', '19:30', '20:50', 'Wednesday']
['ARC-309', '08:30', '09:50', 'Thursday']
['ARC-103', '12:10', '13:30', 'Tuesday']
['ARC-103', '12:10', '13:30', 'Friday']
['ARC-309', '08:30', '09:50', 'Monday']
['ARC-309', '19:30', '20:50', 'Monday']
['ARC-309', '15:50', '17:10', 'Tuesday']
['ARC-309', '14:00', '15:20', 'Monday']
['ARC-309', '15:50', '17:10', 'Monday']
['ARC-309', '10:20', '11:40', 'Monday']
['ARC-309', '12:10', '13:30', 'Monday']
['ARC-309', '17:40', '19:00', 'Monday']
['ARC-309', '08:30', '09:50', 'Wednesday']
['ARC-309', '14:00', '15:20', 'Friday']
['ARC-309', '14:00', '15:20', 'Tuesday']
['HCK-138', '15:50', '17:10', 'Tuesday']
['HCK-138', '15:50', '17:10', 'Thursday']
['BIO-108', '08:30', '09:50', 'Tuesday']
['BIO-108', '14:00', '15:20', 'Wednesday']
['BIO-108', '10:20', '11:40', 'Monday']
['BIO-108', '14:00', '15:20', 'Monday']
['BIO-108', '15:50', '17:10', 'Monday']
['BIO-108', '10:20', '11:40', 'Tuesday']
['BIO-108', '15:50', '17:10', 'Wednesday']
['BIO-108', '12:10', '13:30', 'Thursday']
['BIO-108', '12:10', '13:30', 'Wednesday']
['BIO-108', '12:10', '13:30', 'Monday']
['BIO-108', '14:00', '15:20', 'Thursday']
['BIO-108', '10:20', '11:40', 'Thursday']
['BIO-108', '14:00', '15:20', 'Tuesday']
['HCK-138', '08:30', '09:50', 'Tuesday']
['HCK-138', '08:30', '09:50', 'Friday']
['BIO-108A', '12:10', '13:30', 'Tuesday']
['BIO-108A', '10:20', '11:40', 'Wednesday']
['BIO-108A', '14:00', '15:20', 'Wednesday']
['BIO-108A', '14:00', '15:20', 'Thursday']
['BIO-108A', '12:10', '13:30', 'Monday']
['BIO-108A', '10:20', '11:40', 'Tuesday']
['BIO-108A', '15:50', '17:10', 'Thursday']
['BIO-108A', '14:00', '15:20', 'Tuesday']
['BIO-108A', '10:20', '11:40', 'Thursday']
['BIO-108A', '14:00', '15:20', 'Monday']
['BIO-108', '12:10', '13:30', 'Friday']
['BIO-108', '10:20', '11:40', 'Friday']
['BIO-108A', '15:50', '17:10', 'Monday']
['ARC-103', '10:20', '11:40', 'Friday']
['BLC-142', '13:10', '17:10', 'Monday']
['BLC-145', '13:10', '17:10', 'Monday']
['BLC-142', '08:30', '12:30', 'Tuesday']
['BLC-142', '13:10', '17:10', 'Tuesday']
['BLC-145', '08:30', '12:30', 'Tuesday']
['BLC-145', '13:10', '17:10', 'Tuesday']
['BLC-160', '08:30', '12:30', 'Tuesday']
['BLC-160', '13:10', '17:10', 'Tuesday']
['BLC-142', '08:30', '12:30', 'Wednesday']
['BLC-142', '13:10', '17:10', 'Wednesday']
['BLC-145', '08:30', '12:30', 'Wednesday']
['BLC-145', '13:10', '17:10', 'Wednesday']
['BLC-160', '08:30', '12:30', 'Wednesday']
['BLC-160', '13:10', '17:10', 'Wednesday']
['BLC-142', '08:30', '12:30', 'Thursday']
['BLC-145', '08:30', '12:30', 'Thursday']
['BLC-145', '13:10', '17:10', 'Thursday']
['BLC-160', '08:30', '12:30', 'Thursday']
['BLC-160', '13:10', '17:10', 'Thursday']
['BLC-142', '13:10', '17:10', 'Thursday']
['BLC-160', '13:10', '17:10', 'Monday']
['HCK-138', '14:00', '15:20', 'Wednesday']
['BIO-109', '08:30', '12:30', 'Monday']
['BIO-109', '13:10', '17:10', 'Monday']
['BIO-109', '08:30', '12:30', 'Tuesday']
['BIO-109', '13:10', '17:10', 'Tuesday']
['BIO-101', '08:30', '12:30', 'Tuesday']
['BIO-101', '13:10', '17:10', 'Tuesday']
['BIO-109', '08:30', '12:30', 'Wednesday']
['BIO-101', '08:30', '12:30', 'Monday']
['BIO-101', '08:30', '12:30', 'Wednesday']
['BIO-101', '13:10', '17:10', 'Monday']
['BIO-109', '08:30', '12:30', 'Thursday']
['BIO-109', '13:10', '17:10', 'Thursday']
['BIO-101', '08:30', '12:30', 'Thursday']
['BIO-101', '13:10', '17:10', 'Thursday']
['VD-211', '10:20', '11:40', 'Monday']
['VD-211', '10:20', '11:40', 'Thursday']
['BLC-141', '14:00', '17:00', 'Monday']
['BLC-141', '17:40', '20:40', 'Monday']
['BLC-141', '08:30', '11:30', 'Tuesday']
['BLC-141', '17:40', '20:40', 'Tuesday']
['BLC-141', '08:30', '11:30', 'Wednesday']
['BLC-141', '14:00', '17:00', 'Thursday']
['BLC-141', '17:40', '20:40', 'Thursday']
['BLC-141', '08:30', '11:30', 'Friday']
['BLC-141', '12:10', '15:10', 'Friday']
['MI-100', '12:10', '13:30', 'Monday']
['MI-100', '12:10', '13:30', 'Thursday']
['BLC-141', '08:30', '11:30', 'Monday']
['BLC-141', '12:10', '15:10', 'Tuesday']
['BLC-141', '12:10', '15:10', 'Wednesday']
['BLC-141', '15:50', '18:50', 'Wednesday']
['BLC-141', '08:30', '11:30', 'Thursday']
['HCK-207', '15:50', '17:10', 'Tuesday']
['HCK-207', '15:50', '17:10', 'Thursday']
['BLC-141', '15:50', '18:50', 'Friday']
['HLL-116', '17:40', '19:00', 'Monday']
['HLL-116', '17:40', '19:00', 'Wednesday']
['NH-B138', '08:30', '11:30', 'Tuesday']
['NH-B138', '14:00', '17:00', 'Tuesday']
['NH-B138', '08:30', '11:30', 'Wednesday']
['NH-B138', '14:00', '17:00', 'Wednesday']
['NH-B138', '08:30', '11:30', 'Thursday']
['NH-B138', '14:00', '17:00', 'Thursday']
['PH-115', '17:40', '19:00', 'Monday']
['PH-115', '17:40', '19:00', 'Wednesday']
['TIL-257', '14:00', '15:20', 'Monday']
['TIL-257', '14:00', '15:20', 'Wednesday']
['ARC-328', '12:10', '13:30', 'Tuesday']
['ARC-328', '12:10', '13:30', 'Friday']
['SEC-211', '14:00', '15:20', 'Monday']
['ABW-2160', '10:20', '11:40', 'Tuesday']
['ABW-2160', '10:20', '11:40', 'Friday']
